COMPLAINT_NUMBER,BEAT,STREET,INCIDENT_TIME_START,ADDRESS,DB_BEAT,DB_STREET,DB_INCIDENT_TIME_START,DB_ADDRESS
1062986,1421,CALIFORNIA AVE,2013-06-18 20:00:00,1600,1421,N CALIFORNIA AVE,2012-06-19 20:00:00,1600
1067625,1822,LARRABEE ST,2012-01-12 12:00:00,1160,1423,N CALIFORNIA AVE,2014-01-12 11:44:00,1259
1065108,1924,HALSTED ST,2013-09-24 01:30:00,3458,1923,N HALSTED ST,2013-09-21 01:30:00,3600
1075789,913,HALSTED ST,2015-06-22 09:00:00,3120,,S WESTERN AV,2015-06-21 23:40:00,3500
1057332,923,TALMAN AVE,2012-09-25 19:05:00,5026,0422,,2012-06-19 00:00:00,
1054064,1211,WESTERN AVE,2012-05-16 12:45:00,201,1225,S WESTERN AVE,2012-05-16 12:45:00,201
1061838,1011,INDEPENDENCE BLVD,2013-04-29 11:15:00,1217,1012,S KARLOV AVE,2013-04-29 11:15:00,1866
1063752,1524,PINE AVE,2013-07-21 18:14:00,1046,1511,N CENTRAL AVE,2013-07-21 12:30:00,1000
1068604,2221,HAMILTON AVE,2014-02-27 23:00:00,9046,2221,,2014-02-26 23:00:00,
1076353,1125,WASHTENAW AVE,2015-07-25 02:25:00,100,3100,W PALMER ST,2015-07-25 02:25:00,4303
1063212,1121,ST LOUIS AVE,2013-06-30 19:15:00,700,,N ST.LOUIS,2013-06-30 19:15:00,700
1054821,2413,SACRAMENTO AVE,2012-08-06 15:39:00,6200,2413,,2012-06-16 00:00:00,
1070216,2515,GRAND AVE,2014-07-07 21:00:00,5555,2532,,2014-07-07 20:30:00,
1067053,1134,FILLMORE ST,2014-01-15 16:44:59,3340,1134,W FILLMORE ST,2014-01-05 16:45:00,3340
1071134,1134,HARRISON ST,2014-08-16 17:00:00,3151,1133,W FLOURNOY ST,2014-08-16 16:05:00,3525
1070536,1024,OGDEN AVE,2014-06-24 16:27:00,3301,,W OGDEN,2014-06-24 16:27:00,3301
1060099,2211,ARTESIAN AVE,2010-12-31 01:20:00,10207,2212,W 103RD ST,2013-02-12 17:07:00,1933
1054168,3100,MANHEIM ,2012-05-21 11:39:59,6000,3100,N MANHEIM,2012-05-21 00:00:00,6000
1059072,111,STATE ST,2012-12-05 14:25:00,201,,,2012-12-17 00:00:00,
1068304,522,YALE AVE,2014-03-27 11:45:00,11920,0522,S YALE AVE,2014-03-28 11:45:00,11900
1067006,1911,LAWRENCE AVE,2014-01-05 06:30:00,2619,1911,W LAWRENCE AVE,2013-11-20 07:30:00,2619
1059901,434,103RD ST,2013-01-31 15:00:00,2255,0422,S COLFAX AVE,2013-01-31 00:00:00,7900
1063812,321,COTTAGE GROVE AVE,2013-06-23 22:49:00,7040,0313,E 61ST ST,2013-06-23 22:30:00,715
1062142,831,71ST ST,2013-05-11 23:37:00,2730,0823,W 63RD ST,2013-05-11 23:15:00,3420
1058456,322,CTA 69TH ST LN,2012-11-16 13:30:00,15,0731,W 69TH ST,2012-11-16 13:30:00,
1076014,131,STATE ST,2015-07-04 23:45:00,1718,0111,N STATE ST,2015-07-04 22:00:00,200
1053676,533,CORLISS AVE,2012-04-30 10:44:00,13200,0533,E 132ND ST,2012-04-30 10:44:00,751
1066037,1232,RACINE AVE,2013-11-10 21:59:59,525,1232,S RACINE AVE,2013-11-03 22:00:00,525
1061892,1134,HARRISON ST,2013-05-01 10:30:00,3151,1133,W POLK ST,2013-05-01 10:00:00,3400
1072712,434,103RD ST,2014-11-25 02:00:00,2255,0431,S MANISTEE AVE,2014-11-25 01:30:00,9700
1059579,524,ADA ST,2012-06-26 09:59:59,11603,0524,,2013-01-15 00:00:00,
1074223,1834,NORTH WATER ST,2015-03-15 07:09:59,301,1822,N LARRABEE ST,2015-03-15 07:10:00,1160
1058730,1324,ADA ST,2012-11-29 07:44:59,739,1215,N ADA ST,2012-11-29 07:45:00,739
1062098,311,DR MARTIN LUTHER KING JR DR,2013-05-10 08:42:00,6214,,S KING DR,2013-05-10 08:42:00,6214
1069106,935,48TH ST,2013-04-03 00:00:00,722,0935,,2014-04-03 00:00:00,
1066253,725,MARSHFIELD AVE,2012-10-03 11:25:00,6319,0725,S MARSHFIELD AVE,2013-10-03 11:25:00,6319
1069811,1112,CHICAGO AVE,2014-06-15 18:00:00,3608,1112,W CHICAGO AVE,2014-06-15 18:00:00,3632
1071963,1522,LOTUS AVE,2014-10-10 21:45:00,200,,S ST. LOUIS,2014-10-10 21:45:00,200
1053565,1712,KIMBALL AVE,2010-03-21 22:54:00,4800,1712,N KIMBALL AVE,2012-03-21 22:54:00,4800
1068383,1134,HARRISON ST,2014-03-17 17:29:59,3151,1133,S INDEPENDENCE BLVD,2014-03-17 16:30:00,617
1065959,1134,HARRISON ST,2013-11-04 14:29:59,3171,1134,W HARRISON ST,2013-11-05 14:30:00,3171
1067616,321,COTTAGE GROVE AVE,2014-02-16 21:00:00,7040,0312,S DR MARTIN LUTHER KING JR DR,2014-02-16 20:30:00,6330
1064837,2512,GRAND AVE,2013-09-09 10:30:00,7026,2512,W GRAND AVE,2013-09-10 10:30:00,7026
1063084,531,INDIANA AVE,2013-06-22 18:03:00,11101,0531,S MICHIGAN AVE,2013-06-22 18:00:00,11101
1064356,111,WACKER DR,2013-08-20 06:59:00,45,0111,E WACKER DR,2013-08-19 06:59:00,
1075454,3100,TROY ST,2015-05-27 14:29:59,8834,1834,N MC CLURG CT,2015-05-15 00:29:00,400
1063498,312,DR MARTIN LUTHER KING JR DR,2013-07-11 21:59:59,6454,0312,S DR MARTIN LUTHER KING JR DR,2013-07-11 22:00:00,6400
1072343,423,91ST ST,2014-11-01 20:45:00,2658,0423,S SOUTH CHICAGO AVE,2014-11-01 20:45:00,9073
1064645,212,COTTAGE GROVE AVE,2013-09-01 21:00:00,3842,0331,S STONY ISLAND AVE,2013-08-31 18:00:00,6219
1063672,324,STONY ISLAND AVE,2013-07-18 23:28:00,7258,0324,S STONY ISLAND AVE,2013-07-18 23:00:00,7100
1075477,1414,CALIFORNIA AVE,2015-06-03 11:29:59,2150,1433,N ELSTON AVE,2015-06-03 11:30:00,1600
1067163,833,PIPPIN ST,2013-01-07 20:55:00,3717,0833,W PIPPIN ST,2014-01-07 20:55:00,3717
1067164,2532,DIVISION ST,2011-12-31 00:00:00,5400,0122,W ADAMS ST,2013-12-31 00:00:00,300
1063120,2535,GRAND AVE,2013-06-25 12:30:00,3865,2535,N SPRINGFIELD AVE,2013-06-25 12:30:00,1200
1065812,1834,SUPERIOR ST,2013-10-30 23:50:00,233,1831,W SUPERIOR ST,2013-10-30 23:50:00,233
1057376,1233,RUBLE ST,2012-08-24 21:00:00,1737,1235,S RUBLE ST,2012-08-24 21:00:00,1737
1065034,2533,NORTH AVE,2013-09-20 15:30:00,5010,2533,N LAVERGNE AVE,2013-09-20 12:00:00,1440
1053420,1031,KEDVALE AVE,2012-04-18 12:49:00,3012,1032,S KEDZIE AVE,2012-04-18 12:49:00,3012
1075919,1431,FULLERTON AVE,2014-06-11 22:53:00,2642,1431,W FULLERTON AVE,2015-06-11 22:53:00,2642
1056483,312,ST LAWRENCE AVE,2012-07-18 19:09:59,6339,,S ST. LAWRENCE AVE,2012-07-18 19:10:00,6339
1057277,1822,LARRABEE ST,2012-09-23 12:30:00,1160,1821,N SEDGWICK ST,2012-09-22 11:56:00,1310
1073252,1132,FIFTH AVE,2013-06-09 03:40:00,4102,1132,W FIFTH AVE,2013-06-06 03:40:00,4102
1071375,234,LAKE PARK AVE,2014-09-04 15:30:00,5200,,S LAKE PARK,2014-09-04 15:30:00,5200
1066526,1135,FRANCISCO AVE,2012-04-10 21:43:00,1123,1135,S FRANCISCO AVE,2013-04-10 21:43:00,1123
1056425,321,COTTAGE GROVE AVE,2012-08-19 19:50:00,7040,0312,S COTTAGE GROVE AVE,2012-08-19 19:40:00,6300
1053415,912,WESTERN BLVD,2012-04-17 23:28:00,3505,0911,S WESTERN AVE,2012-04-17 23:41:00,3505
1068363,431,TORRENCE AVE,2014-04-03 00:30:00,10104,0434,S TORRENCE AVE,2014-04-03 00:30:00,10400
1062865,321,COTTAGE GROVE AVE,2013-06-13 18:00:00,7040,0321,S KENWOOD AVE,2013-06-13 17:36:00,6536
1063824,734,73RD PL,2013-07-25 23:00:00,1263,0734,W 73RD ST,2013-07-25 23:00:00,1263
1059955,1522,GLADYS AVE,2011-12-30 22:44:59,5422,,W GLADYS AVE,2011-11-30 00:00:00,5422
1062934,1513,PARKSIDE AVE,2011-05-07 23:35:00,57,1513,N PARKSIDE AVE,2013-05-07 23:35:00,
1069648,1522,CENTRAL AVE,2014-06-06 21:20:00,51,,N CENTRAL AV,2014-06-06 21:20:00,
1065104,1931,CLYBOURN AVE,2013-09-24 14:00:00,2601,1931,N CLYBOURN AVE,2013-09-23 00:00:00,2601
1065287,311,DR MARTIN LUTHER KING JR DR,2013-09-27 21:59:59,6246,0311,,2013-09-28 22:00:00,
1056429,1722,KOLMAR AVE,2012-11-07 09:40:00,4128,1722,,2012-08-19 21:08:00,
1067139,133,MICHIGAN AVE,2014-07-31 23:19:59,2525,1213,N MILWAUKEE AVE,2013-07-31 18:48:00,1052
1072910,1111,KEYSTONE AVE,2013-08-29 18:11:00,930,1111,N KEYSTONE AVE,2014-08-29 18:11:00,930
1058985,913,HALSTED ST,2012-12-13 00:01:00,3120,0715,S ASHLAND AVE,2012-12-12 00:00:00,5500
1061121,1033,CALIFORNIA AVE,2013-04-02 12:30:00,2600,,S CALIFORNIA BL,2013-04-02 12:30:00,2600
1053673,225,WENTWORTH AVE,2012-04-23 14:00:00,5101,0221,S VINCENNES AVE,2012-04-26 13:00:00,4300
1062181,935,48TH ST,2013-05-13 21:59:59,720,0935,W 48TH ST,2013-05-13 22:00:00,744
1070801,1921,BELMONT AVE,,2452,1932,,2011-09-13 19:25:00,
1061679,634,95TH ST,2013-04-23 08:00:00,14,3100,W CTA 95TH ST LN,2013-04-23 00:00:00,
1054835,0,MONTROSE HARBOR DR,2012-06-17 19:05:00,501,1915,W MONTROSE DR,2012-06-17 00:00:00,501
1067209,3100,MILWAUKEE AVE,2014-01-25 15:59:59,7411,1621,,2014-01-22 12:15:00,
1054253,3100,115TH STREET,2012-05-22 12:59:59,3307,3100,S 115TH ST,2012-05-22 13:00:00,3307
1054894,412,SOUTH CHICAGO AVE,2011-08-30 02:00:00,8502,0412,S SOUTH CHICAGO AVE,2011-08-20 00:00:00,8502
1062359,112,STATE ST,2012-05-19 19:30:00,4,0112,N STATE ST,2013-05-19 19:30:00,
1075637,0,,2015-06-08 00:00:00,,0213,S MICHIGAN AVE,2015-06-12 13:16:00,3510
1061081,3100,FORREST PRESERVE DR,2013-03-30 23:16:00,6764,3100,W FORREST PRESERVE D,2013-03-30 23:16:00,6764
1076671,813,CICERO AVE,2014-07-14 16:34:59,5525,0813,S CICERO AVE,2015-07-14 16:35:00,5525
1054312,1121,HOMAN AVE,2012-05-23 14:00:00,656,1121,N HOMAN AVE,2012-05-26 18:42:00,656
1053310,1213,RACINE AVE,2012-04-13 00:00:00,100,1231,S THROOP ST,2012-04-13 00:00:00,1200
1064693,1824,DEARBORN ST,2013-09-05 08:19:59,1000,1215,W ERIE ST,2013-09-05 08:20:00,1250
1058821,2222,MORGAN ST,2012-12-01 15:30:00,8989,2222,S MORGAN ST,2012-12-01 15:30:00,9042
1059280,212,DR MARTIN LUTHER KING JR DR,2013-01-01 22:34:59,3500,0213,S MICHIGAN AVE,2013-01-01 22:35:00,3500
1071762,2432,CLARK ST,2014-09-27 17:29:59,6464,2412,N HOYNE AVE,2014-09-27 17:00:00,6500
1072749,2423,TOUHY AVE,2014-09-02 00:01:00,1447,2423,W TOUHY AVE,2014-10-01 00:01:00,1447
1057655,1312,DIVISION ST,2012-10-09 20:29:59,2527,1211,W DIVISION ST,2012-10-09 20:30:00,2527
1055460,114,LAKE SHORE DR NB,2012-07-09 22:20:00,100,,N LAKE SHORE DR,2012-07-09 22:20:00,100
1065429,0,,,,1921,W GRACE ST,2013-10-09 14:15:00,2400
1061637,634,CTA 95TH ST LN,2013-04-21 05:45:00,14,0634,W 95TH ST,2013-04-21 05:45:00,
1068726,1824,DIVISION ST,2014-04-22 15:52:00,49,1832,N STATE ST,2014-04-22 15:40:00,700
1075644,1532,WEST END AVE,2015-06-12 00:59:59,5054,1532,W WEST END AVE,2015-06-15 01:00:00,5054
1070404,111,WASHINGTON ST,2014-05-19 09:00:00,50,,W WAHSINGTON ST,2014-05-19 09:00:00,
1071359,1133,CENTRAL PARK AVE,2014-09-03 21:00:00,1100,1034,,2014-09-03 21:00:00,
1075653,2222,87TH ST,2015-06-12 22:30:00,953,2222,S SANGAMON ST,2015-06-12 21:30:00,8700
1061842,225,WENTWORTH AVE,2013-04-28 00:59:59,5105,0225,S WENTWORTH AVE,2013-04-28 01:00:00,5101
1064422,1014,MILLARD AVE,2013-03-08 09:24:59,1845,1014,S MILLARD AVE,2013-03-03 09:25:00,1845
1070771,1024,OGDEN AVE,2014-07-04 13:17:00,3315,,W OGDEN,2014-07-04 13:17:00,3315
1062784,3100,GRAND AVE,2013-06-06 14:00:00,7940,3100,W GRAND,2013-06-06 14:00:00,7940
1071758,912,WESTERN AVE,2013-09-01 23:05:00,3225,0912,S WESTERN AVE,2014-09-01 23:05:00,3225
1063817,331,71ST ST,2013-07-25 15:13:00,2132,0333,S MERRILL AVE,2013-07-25 15:00:00,7100
1057850,1134,HARRISON ST,2012-10-17 23:00:00,3151,1123,N HOMAN BLVD,2012-10-17 20:00:00,100
1063330,1134,HARRISON ST,2013-07-02 21:30:00,3151,1222,W MADISON ST,2013-07-02 21:00:00,3032
1056815,1414,CALIFORNIA AVE,2012-09-04 11:00:59,2150,1414,N SACRAMENTO AVE,2012-09-04 00:00:00,2200
1063410,422,BURNHAM AVE,2013-07-09 23:29:59,8139,0631,S VERNON AVE,2013-07-09 23:30:00,8139
1064898,531,111TH ST,2013-09-11 23:00:00,727,0524,S UNION AVE,2013-09-11 22:30:00,11800
1068743,1511,CHICAGO AVE,2014-04-22 15:00:00,5701,1523,N LARAMIE AVE,2014-04-21 17:30:00,500
1069643,621,SANGAMON ST,2014-06-05 19:15:00,7644,0621,S SANGAMON ST,2014-06-03 16:00:00,7644
1058448,0,SPAULDING ST,2012-11-15 15:30:00,1310,1422,,2012-11-15 21:30:00,
1060084,1513,MADISON ST,2013-02-11 18:30:00,5701,1523,N PINE AVE,2013-02-11 15:30:00,237
1066481,1613,NEW ENGLAND AVE,2013-12-06 15:59:59,5046,,N NEW ENGLAND,2013-12-06 16:00:00,5046
1063811,1821,GOETHE ST,2013-07-25 13:30:00,424,1822,N LARRABEE ST,2013-07-25 13:30:00,1160
1071625,2234,ADA ST,,11250,2233,S WALLACE ST,2014-04-25 17:16:00,10436
1054273,1524,WALTON ST,2012-05-25 03:30:00,5405,1513,W MADISON ST,2012-05-25 03:30:00,5701
1065309,1511,PARKSIDE AVE,2013-09-24 08:25:00,843,1524,N PINE AVE,2013-09-27 20:26:00,800
1072774,3100,HEIDEN CIRCLE,2014-11-26 00:01:00,13296,3100,S HEIDEN CIRCLE,2011-08-01 00:01:00,13296
1065076,321,COTTAGE GROVE AVE,2013-09-19 14:00:00,7040,0232,S PRAIRIE AVE,2013-09-19 13:30:00,5900
1057057,1134,HARRISON ST,2012-09-10 15:59:59,3151,1121,N TRUMBULL AVE,2012-09-10 15:00:00,800
1065993,2515,GRAND AVE,2013-11-08 23:00:00,5555,2534,W LE MOYNE ST,2013-11-08 22:45:00,4027
1074043,2515,GRAND AVE,2015-03-05 02:29:59,5555,2523,,2015-03-05 00:25:00,
1057943,313,RHODES AVE,2012-10-21 18:35:00,6215,0313,S RHODES AVE,2012-10-21 18:35:00,6214
1071742,313,ST LAWRENCE AVE,2014-09-26 18:00:00,6024,,S ST LAWRENCE AV,2014-09-26 18:00:00,6024
1065471,811,MERRIMAC AVE,2013-10-27 15:45:00,5300,0811,,2013-10-11 04:50:00,
1066372,1522,GLADYS AVE,2011-09-08 12:10:00,5335,1522,W GLADYS AVE,2013-09-08 12:10:00,5335
1058251,1332,OAKLEY BLVD,2012-11-07 10:44:59,200,1223,N OAKLEY BLVD,2012-11-07 00:00:00,200
1060795,1114,LAKE ST,2013-03-15 12:10:00,4000,1114,W LAKE ST,2013-03-13 12:10:00,4000
1073510,513,MICHIGAN AVE,2014-11-26 18:16:00,11000,0513,S MICHIGAN AVE,2014-11-26 18:30:00,11055
1054926,622,STEWART AVE,2012-06-20 20:57:00,8331,0631,S MARYLAND AVE,2012-06-20 00:00:00,8021
1056731,1223,HOYNE AVE,2012-08-30 20:50:00,1900,1234,S HOYNE AVE,2012-08-30 20:50:00,1900
1058202,1121,HOMAN AVE,2012-11-05 13:18:00,1011,1121,N HOMAN AVE,2012-11-05 00:00:00,1000
1074936,823,63RD ST,2015-04-30 03:00:00,3420,0831,W 73RD ST,2015-04-30 03:00:00,3420
1059416,331,OGLESBY AVE,2012-02-05 20:45:00,6830,0331,S OGLESBY AVE,2012-02-09 20:45:00,6830
1069438,1924,CLARK ST,2014-05-25 02:00:00,3500,1924,N CLARK ST,2014-05-24 04:00:00,3500
1072050,1831,CHICAGO AVE,2013-08-25 17:10:00,545,1831,W CHICAGO AVE,2014-08-25 17:10:00,545
1068902,314,STONY ISLAND AVE,2014-04-30 18:49:59,6440,0314,S STONY ISLAND AVE,2014-04-30 18:50:00,6300
1073474,321,ST LAWRENCE AVE,2014-12-29 10:30:00,6731,,S ST. LAWRENCE,2014-12-29 10:30:00,6731
1053337,523,LA SALLE ST,2012-04-15 14:00:00,12157,3100,,2012-04-15 00:00:00,
1065545,822,ST LOUIS AVE,2013-10-16 08:19:59,5700,,S ST. LOUIS,2013-10-16 08:20:00,5700
1068175,1733,WHIPPLE ST,2014-03-21 21:30:00,3905,1733,N WHIPPLE ST,2013-03-21 21:30:00,3905
1056948,2212,MONTEREY AVE,2012-09-10 13:20:00,1900,2232,W 101ST ST,2012-09-10 12:59:00,1125
1061335,1511,MASSASOIT AVE,2013-04-08 18:59:59,1000,1511,N MASON AVE,2013-04-08 19:00:00,1000
1055420,834,79TH ST,2012-07-08 23:29:59,3939,0833,W 77TH ST,2012-07-08 11:30:00,3939
1067595,321,COTTAGE GROVE AVE,2014-02-18 18:30:00,7040,0624,S COTTAGE GROVE AVE,2014-02-18 18:00:00,7500
1057756,1312,CORTEZ ST,2012-10-10 05:02:00,2329,1212,,2012-10-10 00:00:00,
1063653,1134,HARRISON ST,2013-07-18 03:00:00,3151,1131,W ARTHINGTON ST,2013-07-18 02:35:00,4730
1057022,313,DR MARTIN LUTHER KING JR DR,2012-09-12 18:30:00,6257,,S KING DR,2012-09-12 18:30:00,6300
1054702,232,DR MARTIN LUTHER KING JR DR,2012-06-11 21:00:00,5900,0232,S DR MARTIN LUTHER KING JR DR,2012-06-12 00:00:00,5900
1057567,2423,ESTES AVE,2011-09-06 21:23:00,1320,2423,,2012-09-06 21:23:00,
1064519,1923,ADDISON ST,2013-08-17 02:29:59,850,1924,N CLARK ST,2013-08-18 02:00:00,3400
1062274,2232,102ND ST,2013-03-26 00:59:59,441,2232,W 102ND ST,2012-03-26 01:00:00,441
1061551,1832,LA SALLE DR,2013-04-09 18:30:00,700,,S  LA SALLE,2013-04-09 18:30:00,700
1069847,1012,KILDARE AVE,2014-06-17 12:19:00,1500,2534,N KILDARE AVE,2014-06-17 12:19:00,1400
1063371,234,53RD ST,2013-07-07 19:30:00,1412,0234,S HYDE PARK BLVD,2013-07-07 19:30:00,5300
1058025,621,HALSTED ST,2012-10-09 14:18:00,7808,0613,S MAY ST,2012-10-08 14:00:00,8125
1064585,811,SAYRE AVE,2013-08-08 10:11:00,5344,0811,S SAYRE AVE,2013-08-22 12:00:00,5344
1068171,1033,CALIFORNIA AVE,2014-03-23 16:30:00,2446,,S CALIFORNIA,2014-03-23 16:30:00,2446
1064008,1613,ORIOLE AVE,2013-08-03 18:45:00,5430,1613,N OLCOTT AVE,2013-08-03 18:45:00,5430
1063332,0,HAYES DR,2013-07-05 20:29:59,6300,0331,S LAKE SHORE DR,2013-07-05 20:30:00,6259
1058968,1022,KEDZIE AVE,2011-11-28 00:01:00,1511,1022,,2012-11-28 00:00:00,
1059644,522,116TH ST,2013-01-16 23:44:00,422,0522,W 116TH ST,2013-01-19 00:00:00,422
1056787,1211,WESTERN AVE,2012-09-02 00:00:00,517,1225,S WESTERN AVE,2012-09-02 00:00:00,517
1063797,333,72ND ST,2013-07-24 15:00:00,1934,1123,N CENTRAL PARK AVE,2013-07-20 22:15:00,300
1073326,621,79TH ST,2013-01-01 01:34:59,437,0621,W 79TH ST,2015-01-01 01:35:00,437
1064134,2212,WESTERN AVE,2013-08-08 22:30:00,11833,3100,S WESTERN AVE,2013-08-08 22:30:00,11900
1057902,4100,HENRY ,2012-10-20 21:00:00,13919,,S HENRY,2012-10-20 21:00:00,13919
