Unique id,Observation date,Latitude,Longitude
4895,2012-01-19,41.705677,-87.601107
10996,2012-12-22,41.903649,-87.647332
1642,2011-06-28,41.793029,-87.742064
5460,2012-03-02,41.804833,-87.658179
5461,2012-03-02,41.804833,-87.658179
10222,2013-01-07,41.854673,-87.680372
20011,2011-06-03,41.887535,-87.622206
20364,2011-09-11,41.844518,-87.70504
2923,2011-09-11,41.90657239476278,-87.69700965809407
8577,2012-09-09,41.96565362237354,-87.64866255120562
17745,2014-08-08,41.89640151156883,-87.71147215032398
20688,2011-11-09,41.90746383055881,-87.63744904254162
20181,2011-08-07,41.801512730482315,-87.63817177873709
13181,2013-08-01,41.71469287357359,-87.60909885810409
1027,2011-05-22,41.87864661458966,-87.70306431456096
10460,2013-01-26,41.898184089326996,-87.62276830453683
10738,2013-02-21,41.69642224594991,-87.61383769561644
7277,2012-06-16,41.696980387822855,-87.708307837765
20347,2011-09-07,41.953916,-87.747834
20363,2011-09-12,41.807527,-87.661502
20566,2011-10-13,41.886626,-87.745498
20544,2011-10-08,41.878147,-87.702704
20369,2011-09-11,41.844518,-87.70504
20467,2011-09-24,41.752291,-87.655561
20376,2011-09-11,41.874224,-87.764641
10997,2012-12-22,41.903649,-87.647332
19526,2011-03-23,41.798845,-87.647274
14239,2013-10-19,41.906945,-87.701368
6652,2012-05-03,41.873699,-87.704716
15733,2014-03-12,41.769684,-87.619844
16434,2014-04-09,41.766098,-87.582447
18272,2014-09-14,41.747515,-87.611793
3644,2011-10-11,41.891415,-87.713916
26083,2014-10-11,41.896833,-87.636528
129,2011-03-22,41.691694,-87.668627
13936,2013-09-18,41.782902,-87.684354
14658,2013-11-25,41.722888,-87.632155
5492,2012-03-05,41.752304,-87.644085
9226,2012-10-09,41.734261,-87.631536
7641,2012-07-12,41.749152,-87.606663
3535,2011-10-06,41.810088,-87.747768
3536,2011-10-06,41.810088,-87.747768
11549,2013-04-07,41.786126,-87.684094
3706,2011-10-14,41.766833,-87.605623
